Reporting Area,MMWR Year,MMWR Week,"Severe acute respiratory syndrome-associated coronavirus desease, Current week","Severe acute respiratory syndrome-associated coronavirus desease, Current week, flag","Severe acute respiratory syndrome-associated coronavirus desease, Previous 52 weeks Max†","Severe acute respiratory syndrome-associated coronavirus desease, Previous 52 weeks Max†, flag","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2019†","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2019†, flag","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2018†","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2018†, flag","Shiga toxin-producing Escherichia coli, Current week","Shiga toxin-producing Escherichia coli, Current week, flag","Shiga toxin-producing Escherichia coli, Previous 52 weeks Max†","Shiga toxin-producing Escherichia coli, Previous 52 weeks Max†, flag","Shiga toxin-producing Escherichia coli, Cum 2019†","Shiga toxin-producing Escherichia coli, Cum 2019†, flag","Shiga toxin-producing Escherichia coli, Cum 2018†","Shiga toxin-producing Escherichia coli, Cum 2018†, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Max†","Shigellosis, Previous 52 weeks Max†, flag","Shigellosis, Cum 2019†","Shigellosis, Cum 2019†, flag","Shigellosis, Cum 2018†","Shigellosis, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
US RESIDENTS,2019,1,,-,0,,,-,,-,17,,417,,17,,79,,51,,452,,51,,188,,,US RESIDENTS,20190101
IOWA,2019,1,,-,0,,,-,,-,1,,38,,1,,4,,,-,7,,,-,2,,"IOWA
(42.074659, -93.500061)",,20190121
ALASKA,2019,1,,-,0,,,-,,-,,-,4,,,-,,-,,-,2,,,-,2,,"ALASKA
(63.631126, -151.631889)",,20190158
NEW YORK,2019,1,,-,0,,,-,,-,,-,17,,,-,,-,2,,25,,2,,1,,"NEW YORK
(42.921241, -75.59655)",,20190111
IDAHO,2019,1,,-,0,,,-,,-,,-,13,,,-,1,,,-,6,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20190151
DELAWARE,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20190129
FLORIDA,2019,1,,-,0,,,-,,-,,-,33,,,-,1,,,-,50,,,-,7,,"FLORIDA
(28.260731, -82.420978)",,20190131
NEW YORK CITY,2019,1,,-,0,,,-,,-,,-,19,,,-,,-,18,,43,,18,,9,,,NEW YORK CITY,20190112
WEST VIRGINIA,2019,1,,-,0,,,-,,-,,-,3,,,-,,-,,-,1,,,-,1,,"WEST VIRGINIA
(38.642579, -80.613729)",,20190137
MASSACHUSETTS,2019,1,,-,0,,,-,,-,,-,9,,,-,2,,1,,11,,1,,2,,"MASSACHUSETTS
(42.151077, -71.481104)",,20190105
KENTUCKY,2019,1,,-,0,,,-,,-,,-,6,,,-,,-,,-,3,,,-,3,,"KENTUCKY
(37.526683, -85.290484)",,20190140
MOUNTAIN,2019,1,,-,0,,,-,,-,4,,58,,4,,9,,4,,36,,4,,11,,,MOUNTAIN,20190148
MONTANA,2019,1,,-,0,,,-,,-,,-,8,,,-,,-,,-,2,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20190152
US TERRITORIES,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20190163
ARIZONA,2019,1,,-,0,,,-,,-,,-,11,,,-,,-,3,,21,,3,,6,,"ARIZONA
(34.293239, -111.664616)",,20190149
OKLAHOMA,2019,1,,-,0,,,-,,-,,-,37,,,-,,-,1,,6,,1,,,-,"OKLAHOMA
(35.583449, -97.508297)",,20190146
NEW JERSEY,2019,1,,-,0,,,-,,-,,-,7,,,-,3,,,-,17,,,-,5,,"NEW JERSEY
(40.110253, -74.655514)",,20190110
VIRGINIA,2019,1,,-,0,,,-,,-,,-,17,,,-,1,,,-,14,,,-,1,,"VIRGINIA
(37.510861, -78.666382)",,20190136
AMERICAN SAMOA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20190164
PACIFIC,2019,1,,-,0,,,-,,-,,-,61,,,-,6,,7,,168,,7,,44,,,PACIFIC,20190157
TENNESSEE,2019,1,,-,0,,,-,,-,,-,20,,,-,2,,,-,11,,,-,11,,"TENNESSEE
(35.842998, -86.343226)",,20190142
DISTRICT OF COLUMBIA,2019,1,,-,0,,,-,,-,,-,3,,,-,,-,,-,7,,,-,1,,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20190130
ILLINOIS,2019,1,,-,0,,,-,,-,,-,16,,,-,4,,,-,15,,,-,6,,"ILLINOIS
(40.124144, -89.148632)",,20190115
NEVADA,2019,1,,-,0,,,-,,-,,-,4,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20190153
NORTH CAROLINA,2019,1,,-,0,,,-,,-,,-,20,,,-,1,,,-,13,,,-,4,,"NORTH CAROLINA
(35.52603, -79.130883)",,20190134
ALABAMA,2019,1,,-,0,,,-,,-,,-,8,,,-,1,,,-,13,,,-,8,,"ALABAMA
(32.756889, -86.844516)",,20190139
GUAM,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20190166
ARKANSAS,2019,1,,-,0,,,-,,-,,-,7,,,-,,-,,-,9,,,-,2,,"ARKANSAS
(34.899825, -92.439162)",,20190144
SOUTH DAKOTA,2019,1,,-,0,,,-,,-,,-,34,,,-,3,,,-,3,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20190127
WISCONSIN,2019,1,,-,0,,,-,,-,5,,28,,5,,7,,1,,8,,1,,4,,"WISCONSIN
(44.639954, -89.732969)",,20190119
NEBRASKA,2019,1,,-,0,,,-,,-,,-,12,,,-,,-,,-,4,,,-,1,,"NEBRASKA
(41.527099, -99.810595)",,20190125
TOTAL,2019,1,,-,0,,,-,,-,17,,417,,17,,79,,51,,452,,51,,188,,,TOTAL,20190170
U.S. VIRGIN ISLANDS,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20190168
CALIFORNIA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,4,,108,,4,,37,,"CALIFORNIA
(37.211164, -119.662127)",,20190159
VERMONT,2019,1,,-,0,,,-,,-,,-,4,,,-,,-,,-,2,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20190108
MISSISSIPPI,2019,1,,-,0,,,-,,-,,-,5,,,-,,-,,-,19,,,-,4,,"MISSISSIPPI
(32.713378, -89.65344)",,20190141
CONNECTICUT,2019,1,,-,0,,,-,,-,,-,6,,,-,1,,1,,5,,1,,2,,"CONNECTICUT
(41.575155, -72.738288)",,20190103
NEW MEXICO,2019,1,,-,0,,,-,,-,,-,7,,,-,4,,,-,5,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20190154
SOUTH CAROLINA,2019,1,,-,0,,,-,,-,1,,6,,1,,1,,,-,17,,,-,14,,"SOUTH CAROLINA
(33.878572, -80.864614)",,20190135
NEW HAMPSHIRE,2019,1,,-,0,,,-,,-,,-,5,,,-,,-,,-,1,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20190106
MIDDLE ATLANTIC,2019,1,,-,0,,,-,,-,1,,52,,1,,6,,22,,85,,22,,18,,,MIDDLE ATLANTIC,20190109
INDIANA,2019,1,,-,0,,,-,,-,,-,12,,,-,2,,,-,6,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20190116
MARYLAND,2019,1,,-,0,,,-,,-,,-,13,,,-,1,,,-,11,,,-,5,,"MARYLAND
(38.946466, -76.687282)",,20190133
MISSOURI,2019,1,,-,0,,,-,,-,,-,18,,,-,5,,,-,28,,,-,6,,"MISSOURI
(38.3675, -92.477244)",,20190124
COLORADO,2019,1,,-,0,,,-,,-,4,,19,,4,,4,,1,,14,,1,,4,,"COLORADO
(38.998552, -105.547832)",,20190150
HAWAII,2019,1,,-,0,,,-,,-,,-,2,,,-,,-,,-,31,,,-,1,,"HAWAII
(21.361013, -157.854309)",,20190160
MICHIGAN,2019,1,,-,0,,,-,,-,,-,14,,,-,3,,,-,14,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20190117
PUERTO RICO,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20190167
MAINE,2019,1,,-,0,,,-,,-,,-,4,,,-,,-,,-,1,,,-,,-,"MAINE
(45.117911, -69.06137)",,20190104
MINNESOTA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20190123
WEST NORTH CENTRAL,2019,1,,-,0,,,-,,-,1,,80,,1,,15,,,-,31,,,-,19,,,WEST NORTH CENTRAL,20190120
WEST SOUTH CENTRAL,2019,1,,-,0,,,-,,-,,-,89,,,-,11,,1,,58,,1,,8,,,WEST SOUTH CENTRAL,20190143
SOUTH ATLANTIC,2019,1,,-,0,,,-,,-,1,,89,,1,,6,,4,,88,,4,,36,,,SOUTH ATLANTIC,20190128
NORTHERN MARIANA ISLANDS,2019,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20190165
EAST NORTH CENTRAL,2019,1,,-,0,,,-,,-,10,,80,,10,,20,,11,,43,,11,,22,,,EAST NORTH CENTRAL,20190114
OHIO,2019,1,,-,0,,,-,,-,5,,30,,5,,4,,10,,22,,10,,12,,"OHIO
(40.415534, -82.70936)",,20190118
UTAH,2019,1,,-,0,,,-,,-,,-,12,,,-,,-,,-,6,,,-,1,,"UTAH
(39.323779, -111.678222)",,20190155
NEW ENGLAND,2019,1,,-,0,,,-,,-,,-,19,,,-,3,,2,,16,,2,,4,,,NEW ENGLAND,20190102
OREGON,2019,1,,-,0,,,-,,-,,-,15,,,-,4,,,-,69,,,-,4,,"OREGON
(43.940449, -120.605279)",,20190161
RHODE ISLAND,2019,1,,-,0,,,-,,-,,-,4,,,-,,-,,-,5,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20190107
EAST SOUTH CENTRAL,2019,1,,-,0,,,-,,-,,-,28,,,-,3,,,-,28,,,-,26,,,EAST SOUTH CENTRAL,20190138
KANSAS,2019,1,,-,0,,,-,,-,,-,18,,,-,1,,,-,10,,,-,10,,"KANSAS
(38.484729, -98.38018)",,20190122
GEORGIA,2019,1,,-,0,,,-,,-,,-,8,,,-,1,,4,,14,,4,,3,,"GEORGIA
(32.638481, -83.426574)",,20190132
WASHINGTON,2019,1,,-,0,,,-,,-,,-,48,,,-,2,,3,,74,,3,,,-,"WASHINGTON
(47.411715, -120.592492)",,20190162
PENNSYLVANIA,2019,1,,-,0,,,-,,-,1,,20,,1,,3,,2,,11,,2,,3,,"PENNSYLVANIA
(40.896694, -77.838886)",,20190113
NON-US RESIDENTS,2019,1,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20190169
WYOMING,2019,1,,-,0,,,-,,-,,-,6,,,-,,-,,-,1,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20190156
NORTH DAKOTA,2019,1,,-,0,,,-,,-,,-,5,,,-,2,,,-,1,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20190126
TEXAS,2019,1,,-,0,,,-,,-,,-,49,,,-,11,,,-,51,,,-,4,,"TEXAS
(31.447238, -99.317341)",,20190147
LOUISIANA,2019,1,,-,0,,,-,,-,,-,4,,,-,,-,,-,8,,,-,2,,"LOUISIANA
(30.921314, -91.840238)",,20190145
WEST SOUTH CENTRAL,2019,2,,-,0,,,-,,-,1,,89,,2,,27,,4,,58,,5,,20,,,WEST SOUTH CENTRAL,20190243
SOUTH ATLANTIC,2019,2,,-,0,,,-,,-,3,,89,,9,,26,,7,,87,,13,,86,,,SOUTH ATLANTIC,20190228
MARYLAND,2019,2,,-,0,,,-,,-,3,,13,,4,,6,,3,,11,,4,,8,,"MARYLAND
(38.946466, -76.687282)",,20190233
NEW YORK CITY,2019,2,,-,0,,,-,,-,,-,19,,,-,2,,23,,43,,45,,15,,,NEW YORK CITY,20190212
TOTAL,2019,2,,-,0,,,-,,-,37,,420,,78,,183,,64,,454,,146,,401,,,TOTAL,20190270
US RESIDENTS,2019,2,,-,0,,,-,,-,37,,420,,78,,183,,64,,454,,146,,401,,,US RESIDENTS,20190201
CALIFORNIA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,8,,108,,19,,78,,"CALIFORNIA
(37.211164, -119.662127)",,20190259
CONNECTICUT,2019,2,,-,0,,,-,,-,,-,6,,1,,2,,,-,5,,4,,2,,"CONNECTICUT
(41.575155, -72.738288)",,20190203
EAST NORTH CENTRAL,2019,2,,-,0,,,-,,-,13,,81,,23,,33,,7,,43,,20,,44,,,EAST NORTH CENTRAL,20190214
NEVADA,2019,2,,-,0,,,-,,-,,-,4,,,-,1,,,-,6,,,-,8,,"NEVADA
(39.283294, -114.916992)",,20190253
US TERRITORIES,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20190263
TENNESSEE,2019,2,,-,0,,,-,,-,1,,20,,1,,6,,,-,10,,,-,18,,"TENNESSEE
(35.842998, -86.343226)",,20190242
U.S. VIRGIN ISLANDS,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20190268
RHODE ISLAND,2019,2,,-,0,,,-,,-,,-,4,,,-,,-,,-,5,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20190207
MISSOURI,2019,2,,-,0,,,-,,-,2,,18,,6,,7,,1,,28,,3,,13,,"MISSOURI
(38.3675, -92.477244)",,20190224
VIRGINIA,2019,2,,-,0,,,-,,-,,-,17,,,-,2,,1,,14,,1,,6,,"VIRGINIA
(37.510861, -78.666382)",,20190236
KANSAS,2019,2,,-,0,,,-,,-,,-,18,,,-,4,,,-,10,,2,,14,,"KANSAS
(38.484729, -98.38018)",,20190222
NORTHERN MARIANA ISLANDS,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20190265
OKLAHOMA,2019,2,,-,0,,,-,,-,,-,37,,,-,,-,,-,6,,1,,1,,"OKLAHOMA
(35.583449, -97.508297)",,20190246
GUAM,2019,23,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20192366
IOWA,2019,2,,-,0,,,-,,-,,-,38,,5,,11,,,-,7,,1,,7,,"IOWA
(42.074659, -93.500061)",,20190221
NORTH DAKOTA,2019,2,,-,0,,,-,,-,,-,5,,,-,2,,,-,1,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20190226
MONTANA,2019,2,,-,0,,,-,,-,,-,8,,,-,2,,,-,2,,,-,1,,"MONTANA
(47.033521, -109.645127)",,20190252
NEW MEXICO,2019,2,,-,0,,,-,,-,,-,7,,,-,4,,,-,5,,,-,2,,"NEW MEXICO
(34.421369, -106.108388)",,20190254
DISTRICT OF COLUMBIA,2019,2,,-,0,,,-,,-,,-,3,,,-,2,,,-,7,,,-,3,,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20190230
PENNSYLVANIA,2019,2,,-,0,,,-,,-,3,,20,,5,,6,,,-,11,,2,,8,,"PENNSYLVANIA
(40.896694, -77.838886)",,20190213
MOUNTAIN,2019,2,,-,0,,,-,,-,8,,60,,15,,21,,1,,39,,4,,39,,,MOUNTAIN,20190248
MIDDLE ATLANTIC,2019,2,,-,0,,,-,,-,4,,52,,6,,19,,27,,85,,57,,36,,,MIDDLE ATLANTIC,20190209
GUAM,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20190266
COLORADO,2019,2,,-,0,,,-,,-,4,,19,,9,,9,,1,,14,,1,,11,,"COLORADO
(38.998552, -105.547832)",,20190250
UTAH,2019,2,,-,0,,,-,,-,,-,13,,,-,,-,,-,6,,,-,3,,"UTAH
(39.323779, -111.678222)",,20190255
MICHIGAN,2019,2,,-,0,,,-,,-,,-,14,,,-,5,,,-,14,,2,,3,,"MICHIGAN
(44.874798, -85.730977)",,20190217
IDAHO,2019,2,,-,0,,,-,,-,2,,13,,3,,3,,,-,6,,,-,1,,"IDAHO
(44.389073, -114.659366)",,20190251
NORTH CAROLINA,2019,2,,-,0,,,-,,-,,-,20,,1,,3,,,-,13,,,-,7,,"NORTH CAROLINA
(35.52603, -79.130883)",,20190234
NEW JERSEY,2019,2,,-,0,,,-,,-,,-,7,,,-,9,,2,,17,,8,,8,,"NEW JERSEY
(40.110253, -74.655514)",,20190210
PACIFIC,2019,2,,-,0,,,-,,-,3,,61,,7,,8,,15,,168,,32,,92,,,PACIFIC,20190257
SOUTH CAROLINA,2019,2,,-,0,,,-,,-,,-,6,,2,,5,,3,,17,,4,,20,,"SOUTH CAROLINA
(33.878572, -80.864614)",,20190235
ALASKA,2019,2,,-,0,,,-,,-,,-,4,,,-,,-,,-,1,,,-,2,,"ALASKA
(63.631126, -151.631889)",,20190258
WASHINGTON,2019,2,,-,0,,,-,,-,,-,48,,,-,2,,4,,74,,8,,,-,"WASHINGTON
(47.411715, -120.592492)",,20190262
NEBRASKA,2019,2,,-,0,,,-,,-,,-,12,,,-,3,,,-,4,,,-,2,,"NEBRASKA
(41.527099, -99.810595)",,20190225
NEW HAMPSHIRE,2019,2,,-,0,,,-,,-,,-,5,,,-,,-,,-,1,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20190206
OHIO,2019,2,,-,0,,,-,,-,11,,30,,16,,7,,6,,22,,16,,21,,"OHIO
(40.415534, -82.70936)",,20190218
WEST VIRGINIA,2019,2,,-,0,,,-,,-,,-,3,,,-,,-,,-,1,,,-,1,,"WEST VIRGINIA
(38.642579, -80.613729)",,20190237
NON-US RESIDENTS,2019,2,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20190269
DELAWARE,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20190229
WYOMING,2019,2,,-,0,,,-,,-,,-,6,,,-,,-,,-,1,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20190256
LOUISIANA,2019,2,,-,0,,,-,,-,,-,4,,,-,,-,3,,8,,3,,6,,"LOUISIANA
(30.921314, -91.840238)",,20190245
PUERTO RICO,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20190267
INDIANA,2019,2,,-,0,,,-,,-,,-,12,,,-,3,,,-,6,,,-,4,,"INDIANA
(39.919991, -86.2818)",,20190216
OREGON,2019,2,,-,0,,,-,,-,3,,15,,7,,6,,3,,69,,5,,9,,"OREGON
(43.940449, -120.605279)",,20190261
NEW ENGLAND,2019,2,,-,0,,,-,,-,,-,19,,1,,9,,2,,16,,8,,8,,,NEW ENGLAND,20190202
HAWAII,2019,2,,-,0,,,-,,-,,-,2,,,-,,-,,-,31,,,-,3,,"HAWAII
(21.361013, -157.854309)",,20190260
WEST NORTH CENTRAL,2019,2,,-,0,,,-,,-,2,,80,,11,,32,,1,,31,,6,,36,,,WEST NORTH CENTRAL,20190220
ARIZONA,2019,2,,-,0,,,-,,-,2,,11,,3,,2,,,-,21,,3,,13,,"ARIZONA
(34.293239, -111.664616)",,20190249
VERMONT,2019,2,,-,0,,,-,,-,,-,4,,,-,,-,,-,2,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20190208
MASSACHUSETTS,2019,2,,-,0,,,-,,-,,-,9,,,-,7,,2,,11,,4,,5,,"MASSACHUSETTS
(42.151077, -71.481104)",,20190205
ILLINOIS,2019,2,,-,0,,,-,,-,,-,16,,,-,4,,,-,15,,,-,11,,"ILLINOIS
(40.124144, -89.148632)",,20190215
ALABAMA,2019,2,,-,0,,,-,,-,1,,8,,2,,2,,,-,13,,,-,10,,"ALABAMA
(32.756889, -86.844516)",,20190239
MISSISSIPPI,2019,2,,-,0,,,-,,-,,-,5,,,-,,-,,-,19,,1,,9,,"MISSISSIPPI
(32.713378, -89.65344)",,20190241
GEORGIA,2019,2,,-,0,,,-,,-,,-,8,,2,,1,,,-,13,,4,,11,,"GEORGIA
(32.638481, -83.426574)",,20190232
SOUTH DAKOTA,2019,2,,-,0,,,-,,-,,-,34,,,-,5,,,-,3,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20190227
AMERICAN SAMOA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20190264
MAINE,2019,2,,-,0,,,-,,-,,-,4,,,-,,-,,-,1,,,-,1,,"MAINE
(45.117911, -69.06137)",,20190204
ARKANSAS,2019,2,,-,0,,,-,,-,,-,7,,1,,1,,1,,9,,1,,4,,"ARKANSAS
(34.899825, -92.439162)",,20190244
KENTUCKY,2019,2,,-,0,,,-,,-,1,,6,,1,,,-,,-,3,,,-,3,,"KENTUCKY
(37.526683, -85.290484)",,20190240
FLORIDA,2019,2,,-,0,,,-,,-,,-,33,,,-,7,,,-,51,,,-,30,,"FLORIDA
(28.260731, -82.420978)",,20190231
WISCONSIN,2019,2,,-,0,,,-,,-,2,,29,,7,,14,,1,,8,,2,,5,,"WISCONSIN
(44.639954, -89.732969)",,20190219
MINNESOTA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20190223
TEXAS,2019,2,,-,0,,,-,,-,1,,49,,1,,26,,,-,51,,,-,9,,"TEXAS
(31.447238, -99.317341)",,20190247
NEW YORK,2019,2,,-,0,,,-,,-,1,,17,,1,,2,,2,,25,,2,,5,,"NEW YORK
(42.921241, -75.59655)",,20190211
EAST SOUTH CENTRAL,2019,2,,-,0,,,-,,-,3,,28,,4,,8,,,-,28,,1,,40,,,EAST SOUTH CENTRAL,20190238
ALABAMA,2019,3,,-,0,,,-,,-,,-,8,,3,,2,,1,,13,,11,,11,,"ALABAMA
(32.756889, -86.844516)",,20190339
TENNESSEE,2019,3,,-,0,,,-,,-,,-,20,,3,,11,,,-,10,,2,,24,,"TENNESSEE
(35.842998, -86.343226)",,20190342
NEW JERSEY,2019,3,,-,0,,,-,,-,,-,7,,,-,9,,,-,17,,27,,19,,"NEW JERSEY
(40.110253, -74.655514)",,20190310
AMERICAN SAMOA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20190364
NORTHERN MARIANA ISLANDS,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20190365
PENNSYLVANIA,2019,3,,-,0,,,-,,-,1,,20,,9,,6,,2,,11,,8,,14,,"PENNSYLVANIA
(40.896694, -77.838886)",,20190313
MASSACHUSETTS,2019,3,,-,0,,,-,,-,1,,9,,1,,9,,1,,11,,7,,10,,"MASSACHUSETTS
(42.151077, -71.481104)",,20190305
UTAH,2019,3,,-,0,,,-,,-,,-,13,,4,,,-,,-,6,,3,,4,,"UTAH
(39.323779, -111.678222)",,20190355
DELAWARE,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,1,,"DELAWARE
(38.994926, -75.452394)",,20190329
OHIO,2019,3,,-,0,,,-,,-,5,,30,,21,,18,,11,,22,,28,,32,,"OHIO
(40.415534, -82.70936)",,20190318
ARKANSAS,2019,3,,-,0,,,-,,-,1,,7,,2,,3,,1,,9,,3,,5,,"ARKANSAS
(34.899825, -92.439162)",,20190344
NORTH CAROLINA,2019,3,,-,0,,,-,,-,,-,20,,1,,7,,,-,13,,1,,13,,"NORTH CAROLINA
(35.52603, -79.130883)",,20190334
OKLAHOMA,2019,3,,-,0,,,-,,-,1,,37,,1,,1,,1,,6,,2,,1,,"OKLAHOMA
(35.583449, -97.508297)",,20190346
PACIFIC,2019,3,,-,0,,,-,,-,,-,61,,7,,13,,12,,168,,61,,126,,,PACIFIC,20190357
IOWA,2019,3,,-,0,,,-,,-,,-,38,,6,,13,,,-,7,,1,,9,,"IOWA
(42.074659, -93.500061)",,20190321
NEW YORK CITY,2019,3,,-,0,,,-,,-,,-,19,,2,,4,,23,,43,,73,,25,,,NEW YORK CITY,20190312
WYOMING,2019,3,,-,0,,,-,,-,,-,6,,,-,,-,,-,1,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20190356
MARYLAND,2019,3,,-,0,,,-,,-,3,,13,,9,,7,,5,,11,,9,,12,,"MARYLAND
(38.946466, -76.687282)",,20190333
OREGON,2019,3,,-,0,,,-,,-,,-,15,,5,,10,,2,,69,,6,,10,,"OREGON
(43.940449, -120.605279)",,20190361
EAST SOUTH CENTRAL,2019,3,,-,0,,,-,,-,,-,28,,7,,14,,1,,28,,16,,53,,,EAST SOUTH CENTRAL,20190338
PUERTO RICO,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20190367
NEW YORK,2019,3,,-,0,,,-,,-,6,,17,,7,,3,,4,,25,,6,,9,,"NEW YORK
(42.921241, -75.59655)",,20190311
MAINE,2019,3,,-,0,,,-,,-,,-,4,,,-,,-,,-,1,,,-,2,,"MAINE
(45.117911, -69.06137)",,20190304
RHODE ISLAND,2019,3,,-,0,,,-,,-,,-,4,,,-,,-,,-,5,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20190307
ARIZONA,2019,3,,-,0,,,-,,-,,-,11,,3,,2,,,-,21,,3,,20,,"ARIZONA
(34.293239, -111.664616)",,20190349
NEW MEXICO,2019,3,,-,0,,,-,,-,,-,7,,2,,8,,,-,5,,,-,3,,"NEW MEXICO
(34.421369, -106.108388)",,20190354
ALASKA,2019,3,,-,0,,,-,,-,,-,4,,,-,1,,,-,1,,,-,2,,"ALASKA
(63.631126, -151.631889)",,20190358
MISSOURI,2019,3,,-,0,,,-,,-,2,,18,,12,,10,,1,,28,,6,,15,,"MISSOURI
(38.3675, -92.477244)",,20190324
DISTRICT OF COLUMBIA,2019,3,,-,0,,,-,,-,,-,3,,,-,2,,,-,7,,,-,5,,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20190330
IDAHO,2019,3,,-,0,,,-,,-,1,,13,,4,,5,,,-,6,,1,,2,,"IDAHO
(44.389073, -114.659366)",,20190351
NEVADA,2019,3,,-,0,,,-,,-,,-,4,,,-,1,,,-,6,,,-,11,,"NEVADA
(39.283294, -114.916992)",,20190353
TEXAS,2019,3,,-,0,,,-,,-,,-,49,,1,,42,,8,,52,,17,,16,,"TEXAS
(31.447238, -99.317341)",,20190347
NEW HAMPSHIRE,2019,3,,-,0,,,-,,-,,-,5,,,-,,-,,-,1,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20190306
CALIFORNIA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,6,,108,,40,,110,,"CALIFORNIA
(37.211164, -119.662127)",,20190359
KANSAS,2019,3,,-,0,,,-,,-,,-,18,,,-,8,,,-,10,,2,,17,,"KANSAS
(38.484729, -98.38018)",,20190322
WISCONSIN,2019,3,,-,0,,,-,,-,1,,29,,10,,22,,1,,8,,5,,7,,"WISCONSIN
(44.639954, -89.732969)",,20190319
